epoch,train_loss,train_acc,val_loss,val_acc,lr
1,3.462572146425763,0.10008703220191471,3.256052248744758,0.1299638989169675,0.001
2,3.1361879369366643,0.15936563195048833,2.922003738286263,0.2305956678700361,0.001
3,2.941995003020299,0.19669277632724108,2.6906307690410407,0.27075812274368233,0.001
4,2.8044158977554288,0.22251232956193792,2.6128856412770514,0.2824909747292419,0.001
5,2.691308156259631,0.24533410695290592,2.56282631757027,0.29422382671480146,0.001
6,2.589425113327717,0.27163717242046226,2.394716827447664,0.3334837545126354,0.001
7,2.466472301224009,0.2973600232085872,2.3002205618021723,0.365072202166065,0.001
8,2.398032122683841,0.3133159268929504,2.160784822939105,0.38537906137184114,0.001
9,2.3093072359617945,0.33052896238274826,2.215889894574988,0.37815884476534295,0.001
10,2.2375310637390413,0.35499468136543855,2.034450079990208,0.4359205776173285,0.001
11,2.1513420645543473,0.3695000483512233,2.0901433302607346,0.4056859205776173,0.001
12,2.1108833035421193,0.3851658446958708,1.9953552617923447,0.43772563176895307,0.001
13,2.0495841800561325,0.396383328498211,1.8170994447026443,0.49954873646209386,0.001
14,2.0101876640767102,0.41582052025916255,1.7857797528862522,0.5036101083032491,0.001
15,1.96310364991389,0.4175611642974567,1.7283848889898308,0.5212093862815884,0.001
16,1.9194804884319714,0.43448409244753894,1.8098960645792717,0.4878158844765343,0.001
17,1.8559714100275795,0.4482158398607485,1.7588644996016465,0.5081227436823105,0.001
18,1.8155016446411005,0.461947587273958,1.6603480366593233,0.5221119133574007,0.001
19,1.7626671066783104,0.47171453437771976,1.6806682671020177,0.5063176895306859,0.001
20,1.7551750588631472,0.47693646649260224,1.777057332252337,0.4972924187725632,0.001
21,1.7076044744915433,0.4865100087032202,1.6238787165617685,0.5333935018050542,0.001
22,1.6809237852120535,0.49772749250556036,1.4730592927347452,0.5703971119133574,0.001
23,1.6401880194723302,0.501982400154724,1.4927580860117282,0.5726534296028881,0.001
24,1.6180334267101208,0.5151339328885021,1.5367370224171166,0.5717509025270758,0.001
25,1.599649000612821,0.5143603133159269,1.5074348815511711,0.5762635379061372,0.001
26,1.57458092187408,0.5211294845759598,1.6412223766857106,0.5351985559566786,0.001
27,1.5211920611875198,0.53998646165748,1.536358660308893,0.5604693140794224,0.001
28,1.5141847929517855,0.5409534861231989,1.5585029357607183,0.5541516245487365,0.001
29,1.4609451802207336,0.5537182090706895,1.67494584463994,0.5694945848375451,0.001
30,1.453573479192214,0.5545885310898365,1.6050887056206107,0.5600180505415162,0.001
31,1.425000194423769,0.5628082390484479,1.4448446500172254,0.5992779783393501,0.001
32,1.4334892875370557,0.5648389904264578,1.3254606728088985,0.6245487364620939,0.001
33,1.3502033033934453,0.5819553234696838,1.482609327089055,0.6042418772563177,0.001
34,1.3494437707714342,0.583599265061406,1.3780712457340116,0.6024368231046932,0.001
35,1.3270515734908912,0.5919156754665893,1.6279038853593681,0.5496389891696751,0.001
36,1.3242630780682714,0.5910453534474422,1.7370128752092162,0.5424187725631769,0.001
37,1.28669169642872,0.5953969635431776,1.4618507193314039,0.6173285198555957,0.001
38,1.281516869136621,0.6053573155400832,1.4192459260513637,0.5979241877256317,0.001
39,1.2469349417692457,0.6089353060632434,1.2769701063417787,0.6475631768953068,0.001
40,1.2413801044966355,0.6175418238081424,1.6858087399375998,0.5658844765342961,0.001
41,1.2149210519964029,0.6216033265641621,1.3232249593906884,0.6385379061371841,0.001
42,1.2092136980866846,0.622570351029881,1.388539261766289,0.618231046931408,0.001
43,1.1870631531951574,0.625471424427038,1.3697018773977507,0.6286101083032491,0.001
44,1.175472510978039,0.6336911323856493,1.4600843668844725,0.6110108303249098,0.001
45,1.1692666627143178,0.6304999516487767,1.2149939889942265,0.6714801444043321,0.001
46,1.136228150860759,0.6460690455468523,1.1823204678318562,0.6660649819494585,0.001
47,1.1310193475550903,0.6423943525771202,1.293317169919341,0.6507220216606499,0.001
48,1.1059621133975854,0.6510008703220191,1.2188966386154672,0.6601985559566786,0.001
49,1.080649268418513,0.6566096122231893,1.3643336270260036,0.6231949458483754,0.001
50,1.075311210789287,0.6569964220094768,1.2253029286215882,0.6538808664259927,0.001
51,1.0745949743794883,0.6604777100860652,1.4328222403887807,0.5974729241877257,0.001
52,1.0457152851475655,0.6646359152886568,1.3100061408018808,0.6525270758122743,0.001
53,1.0589065949122112,0.6609612223189246,1.3852053166296507,0.6308664259927798,0.001
54,1.0338269190497307,0.6737259452664153,1.2813574673897092,0.6529783393501805,0.001
55,1.0159647456855634,0.6818489507784546,1.3646718848913586,0.6592960288808665,0.001
56,0.9924401484286459,0.6864906682139058,1.1843200457225207,0.6732851985559567,0.001
57,0.9759680188701642,0.6832994874770332,1.0889869282822315,0.7062274368231047,0.001
